"By variant","By gender","By age",2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067
"Medium","Total","Total",51361911,51606633,51709098,51780579,51821669,51846339,51868100,51887623,51905126,51920462,51933215,51941946,51940598,51926953,51899896,51858138,51800130,51724407,51629895,51515697,51381324,51226482,51051053,50855376,50639882,50404693,50149334,49872642,49574038,49253490,48910639,48544753,48155863,47744500,47311892,46859170,46388584,45903100,45405902,44899931,44387327,43871155,43354083,42837900,42323694,41811745,41302713,40796680,40293293,39792385,39293827
"Medium","Total","0-4 Years old",2151219,2032012,1918541,1781372,1642366,1546576,1500726,1488174,1503772,1546675,1602615,1657319,1705112,1740701,1762567,1769926,1762610,1744426,1719698,1689735,1656114,1620551,1584759,1550290,1518388,1489822,1464741,1442622,1422380,1402542,1381518,1357890,1330675,1299518,1264785,1227540,1189412,1152398,1118578,1089821,1067516,1052365,1044299,1042510,1045598,1051805,1059269,1066255,1071348,1073555,1072337
"Medium","Total","5-9 Years old",2308987,2289635,2274890,2274368,2223872,2136167,2018170,1906183,1770415,1632781,1538030,1492673,1480154,1495496,1537908,1593211,1647271,1694597,1729821,1751482,1758774,1751524,1733515,1709041,1679380,1646098,1610894,1575467,1541352,1509776,1481504,1456683,1434795,1414764,1395131,1374320,1350935,1323990,1293142,1258753,1221872,1184117,1147471,1113986,1085519,1063446,1048449,1040473,1038712,1041780,1047936
"Medium","Total","10-14 Years old",2264077,2267741,2241196,2241098,2285452,2302083,2281924,2267054,2266404,2215832,2128296,2010725,1899203,1763893,1626746,1532395,1487237,1474764,1490023,1532261,1587323,1641124,1688224,1723283,1744856,1752128,1744916,1726996,1702649,1673143,1640032,1605005,1569757,1535816,1504399,1476272,1451575,1429800,1409869,1390339,1369633,1346367,1319555,1288860,1254640,1217942,1180374,1143906,1110585,1082257,1060291
"Medium","Total","15-19 Years old",2982455,2817245,2672668,2491002,2327574,2265962,2267468,2239429,2238045,2281147,2296565,2275451,2259852,2258580,2207809,2120457,2003301,1892344,1757614,1621120,1527370,1482605,1470312,1485604,1527756,1582627,1636195,1683080,1717959,1739407,1746617,1739406,1721550,1697306,1667929,1634964,1600104,1565022,1531248,1499990,1472007,1447439,1425778,1405952,1386518,1365909,1342747,1316050,1285485,1251412,1214871
"Medium","Total","20-24 Years old",3529657,3496564,3412056,3334536,3225804,3055770,2866577,2711315,2520744,2349757,2280870,2275322,2240754,2233663,2272390,2284961,2262556,2246484,2245251,2194957,2108426,1992416,1882749,1749615,1614849,1522483,1478580,1466711,1482052,1523886,1578205,1631178,1677500,1711910,1733032,1740086,1732892,1715199,1691210,1662153,1629560,1595100,1560431,1527063,1496190,1468560,1444303,1422919,1403341,1384133,1363753
"Medium","Total","25-29 Years old",3368161,3497380,3580868,3637249,3684477,3647149,3581957,3487886,3401461,3284688,3107863,2912545,2751324,2555550,2380104,2307710,2299831,2264491,2257521,2296250,2308942,2286648,2270818,2269780,2219534,2133107,2017160,1907406,1773991,1638789,1545975,1501698,1489567,1504772,1546621,1601075,1654230,1700755,1735384,1756703,1763909,1756810,1739156,1715171,1686092,1653452,1618929,1584186,1550734,1519774,1492059
"Medium","Total","30-34 Years old",3491542,3366501,3306948,3319618,3336107,3428375,3537696,3619047,3673379,3718640,3679498,3612528,3516598,3428572,3310444,3132420,2936169,2774601,2578740,2403257,2330863,2323099,2287847,2280896,2319750,2332584,2310384,2294556,2293543,2243346,2156846,2040745,1930820,1797267,1661922,1568998,1524689,1512599,1527885,1569841,1624426,1677718,1724366,1759092,1780482,1787729,1780649,1762989,1738985,1709873,1677193
"Medium","Total","35-39 years old",4054300,4100582,4055441,3883932,3711861,3522764,3380037,3320398,3332749,3348899,3440647,3549415,3630139,3683932,3728732,3689415,3622409,3526733,3438963,3321189,3143549,2947647,2786374,2590891,2415742,2343541,2335937,2300871,2294009,2332919,2345874,2323817,2308064,2307105,2257029,2170644,2054632,1944770,1811325,1676093,1583252,1539009,1526987,1542334,1584336,1638962,1692297,1738991,1773757,1795185,1802467
"Medium","Total","40-44 years old",4078404,3955767,3853391,3891003,3970948,4069315,4102725,4057982,3887252,3715780,3527224,3384758,3325014,3337184,3353268,3444817,3553480,3634412,3688490,3733612,3694787,3628215,3532985,3445622,3328277,3151117,2955682,2794766,2599657,2424765,2352651,2345116,2310191,2303429,2342436,2355535,2333626,2317985,2317154,2267245,2181002,2065131,1955384,1822054,1686875,1594031,1549781,1537763,1553124,1595151,1649830
